,display_name,MAC_Address,IP_Address,Discovery_Time,Analysis_Level,Bytes_In,Bytes_Out
321,Remote 172.29.77.9,,172.29.77.9,2023-03-07 09:29:00,standard,90839575,90839575
322,rtmm164-p43s.realtek.com.tw,8E:4B:33:86:F1:F8,172.26.6.36,2023-03-07 09:27:00,discovery,4160,4160
323,Device 8a60c66bf20f0000,8A:60:C6:6B:F2:0F,172.26.6.31,2023-03-07 09:26:00,discovery,3840,3840
324,TW-100140-01,44:03:2C:EF:84:40,169.254.176.217,2023-03-07 09:24:00,discovery,0,0
325,833-068,D4:3A:65:0D:2A:C2,,2023-03-07 09:18:00,discovery,0,0
326,rtdhc82107.realtek.com.tw,1A:99:74:F4:60:62,172.26.6.30,2023-03-07 09:13:30,discovery,1664,1664
327,DESKTOP-4OBKTMA,00:F4:8D:F0:B4:AD,10.21.243.48,2023-03-07 09:04:00,standard,1826354481,1826354481
328,Remote 172.29.118.10,,172.29.118.10,2023-03-07 08:50:00,standard,184080375,184080375
329,Device 0092818223710000,00:92:81:82:23:71,192.168.99.91,2023-03-07 08:30:00,discovery,1421374304,1421374304
330,r028346108.realtek.com.tw,B2:A2:EF:EF:09:14,172.26.6.23,2023-03-07 03:54:00,discovery,512,512
331,Remote 172.29.82.252,,172.29.82.252,2023-03-07 03:22:30,discovery,0,0
332,Remote 172.29.80.15,,172.29.80.15,2023-03-07 03:06:30,discovery,0,0
333,Remote 172.29.80.5,,172.29.80.5,2023-03-07 02:51:00,discovery,0,0
334,Remote 172.29.118.36,,172.29.118.36,2023-03-07 01:04:30,standard,27267924,27267924
335,Remote 172.29.118.7,,172.29.118.7,2023-03-06 22:12:00,standard,121045843,121045843
336,LGwebOSTV,E8:5B:5B:26:34:32,192.168.180.71,2023-03-06 20:43:00,discovery,14868791,14868791
